id,count,x,y,vul_resource
16409,18,129.045,34.80693,0
16410,17,129.055,34.80693,0
16411,18,129.065,34.80693,0
16412,15,129.075,34.80693,0
16413,11,129.085,34.80693,0
16414,4,129.095,34.80693,0
16415,5,129.105,34.80693,0
16416,12,129.115,34.80693,0
16417,10,129.125,34.80693,0
16418,10,129.135,34.80693,0
16419,9,129.145,34.80693,0
16420,6,129.155,34.80693,0
16421,3,129.165,34.80693,0
16422,4,129.175,34.80693,0
16423,5,129.185,34.80693,0
16424,7,129.195,34.80693,0
16425,5,129.205,34.80693,0
16426,7,129.215,34.80693,0
69,0,129.445,35.64693,1
70,0,129.455,35.64693,0
71,0,129.465,35.64693,0
72,0,129.475,35.64693,0
73,1,129.485,35.64693,0
74,3,129.495,35.64693,0
75,2,129.505,35.64693,0
76,5,129.515,35.64693,0
77,17,129.525,35.64693,0
78,17,129.535,35.64693,0
79,21,129.545,35.64693,0
80,18,129.555,35.64693,0
81,19,129.565,35.64693,0
82,11,129.575,35.64693,0
83,10,129.585,35.64693,0
84,13,129.595,35.64693,0
85,9,129.605,35.64693,0
86,6,129.615,35.64693,0
87,7,129.625,35.64693,0
88,2,129.635,35.64693,0
89,4,129.645,35.64693,0
90,6,129.655,35.64693,0
91,2,129.665,35.64693,0
92,3,129.675,35.64693,0
93,6,129.685,35.64693,0
94,4,129.695,35.64693,0
95,3,129.705,35.64693,0
96,2,129.715,35.64693,0
97,3,129.725,35.64693,0
98,2,129.735,35.64693,0
99,2,129.745,35.64693,0
100,2,129.755,35.64693,0
101,2,129.765,35.64693,0
102,2,129.775,35.64693,0
103,2,129.785,35.64693,0
104,2,129.795,35.64693,0
105,2,129.805,35.64693,0
106,1,129.815,35.64693,0
107,0,129.825,35.64693,0
108,0,129.835,35.64693,0
109,1,129.845,35.64693,0
110,1,129.855,35.64693,0
111,0,129.865,35.64693,0
112,1,129.875,35.64693,0
113,1,129.885,35.64693,0
114,1,129.895,35.64693,0
115,1,129.905,35.64693,0
116,1,129.915,35.64693,0
117,0,129.925,35.64693,0
118,0,129.935,35.64693,0
119,0,129.945,35.64693,0
120,0,129.955,35.64693,0
16587,14,128.875,34.79693,0
16588,15,128.885,34.79693,0
16589,16,128.895,34.79693,0
16590,19,128.905,34.79693,0
16591,21,128.915,34.79693,0
16592,20,128.925,34.79693,0
16593,22,128.935,34.79693,0
16594,24,128.945,34.79693,0
16595,25,128.955,34.79693,0
16596,31,128.965,34.79693,0
16597,29,128.975,34.79693,0
16598,27,128.985,34.79693,0
16599,22,128.995,34.79693,0
16600,25,129.005,34.79693,0
16601,22,129.015,34.79693,0
16602,19,129.025,34.79693,0
16603,17,129.035,34.79693,0
16604,13,129.045,34.79693,0
16605,16,129.055,34.79693,0
16606,13,129.065,34.79693,0
16607,11,129.075,34.79693,0
16608,5,129.085,34.79693,0
16609,4,129.095,34.79693,0
16610,5,129.105,34.79693,0
16611,11,129.115,34.79693,0
16612,10,129.125,34.79693,0
16613,9,129.135,34.79693,0
16614,10,129.145,34.79693,0
16615,9,129.155,34.79693,0
16616,8,129.165,34.79693,0
16617,7,129.175,34.79693,0
16618,5,129.185,34.79693,0
16619,6,129.195,34.79693,0
16620,7,129.205,34.79693,0
264,0,129.445,35.63693,1
265,0,129.455,35.63693,1
266,0,129.465,35.63693,0
267,1,129.475,35.63693,0
