 중구 ,,,,,,,,,,,,,,,,,,,,,,,,
, Sun ,35255,34585,34158,33930,33897,34590,35134,35838,37387,40044,44441,50054,54950,57365,57372,55884,53348,49830,45521,41297,37494,34733,33332
, Sat ,33146,32554,32279,32254,32485,33327,34325,35913,38385,41380,45666,50878,55665,58278,58897,58624,58070,56817,54167,50112,44898,40537,37916
, Weekdays ,29785,29411,29246,29292,29504,30587,33992,41711,45325,47912,50579,53158,54897,55188,54695,53686,52324,48011,44570,41036,37275,34049,32120
, Resident ,30880,30880,30880,30880,30880,30880,30880,30880,30880,30880,30880,30880,30880,30880,30880,30880,30880,30880,30880,30880,30880,30880,30880
, Daytime ,60345,60345,60345,60345,60345,60345,60345,60345,60345,60345,60345,60345,60345,60345,60345,60345,60345,60345,60345,60345,60345,60345,60345
 서구 ,,,,,,,,,,,,,,,,,,,,,,,,
, Sun ,7343,7378,7412,7447,7478,7515,7527,7583,7632,7680,7730,7721,7720,7642,7507,7300,7186,7114,7160,7205,7285,7309,7306
, Sat ,7278,7307,7336,7373,7415,7448,7466,7448,7395,7350,7351,7362,7332,7306,7292,7219,7192,7223,7181,7163,7242,7290,7312
, Weekdays ,7433,7447,7463,7494,7544,7628,7932,8102,8159,8174,8060,8013,8039,7992,7842,7655,7374,7242,7234,7311,7350,7373,7371
, Resident ,7525,7525,7525,7525,7525,7525,7525,7525,7525,7525,7525,7525,7525,7525,7525,7525,7525,7525,7525,7525,7525,7525,7525
, Daytime ,7370,7370,7370,7370,7370,7370,7370,7370,7370,7370,7370,7370,7370,7370,7370,7370,7370,7370,7370,7370,7370,7370,7370
 동구 ,,,,,,,,,,,,,,,,,,,,,,,,
, Sun ,10656,10690,10726,10761,10805,10734,10723,10817,11018,11226,11461,11714,11630,11528,11112,11127,11181,11050,10818,10601,10547,10443,10360
, Sat ,10557,10567,10619,10645,10737,10705,10790,11070,11391,11567,11807,12078,11901,11803,11481,11495,11413,11194,11013,10791,10716,10589,10511
, Weekdays ,10634,10638,10657,10688,10735,10711,11295,12682,13273,13431,13568,13511,13388,13272,13060,12952,12773,12205,11542,11261,10986,10757,10602
, Resident ,9961,9961,9961,9961,9961,9961,9961,9961,9961,9961,9961,9961,9961,9961,9961,9961,9961,9961,9961,9961,9961,9961,9961
