동명,구,요일,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
가락동,강서구,2,2143,2521,2516,2527,2588,2872,3841,4775,5514,5932,5924,6194,6006,6222,6094,6041,5956,4886,3980,3174,2905,2621,2412,2373
가락동,강서구,3,1993,2354,2386,2418,2481,2806,3712,4749,5639,5920,6151,6253,6343,6160,6217,6007,5899,5237,4146,3779,3151,2692,2522,2395
가락동,강서구,4,2042,2424,2454,2482,2568,2973,3563,4700,5621,6100,6258,6365,6230,6200,6230,6127,6130,5946,4884,3687,3341,2759,2603,2540
가락동,강서구,5,2080,2480,2451,2452,2488,2747,3121,3769,4461,4918,5253,5201,5067,5142,5001,4947,4700,3997,3311,2980,2714,2487,2375,2425
가락동,강서구,6,2007,2414,2387,2382,2385,2475,2593,2635,2923,3495,3605,3907,3962,3845,4031,3910,3988,3834,3195,2950,2720,2533,2372,2309
가락동,강서구,0,1995,2410,2372,2447,2513,2945,3725,4769,5520,5905,5854,6136,5955,6101,6061,6002,5820,5057,3832,3441,2824,2506,2377,2360
가락동,강서구,1,2017,2403,2382,2430,2448,2783,3674,4659,5889,6235,6272,6462,6394,6437,6281,6175,6045,4968,4040,3518,2987,2637,2390,2363
가락동,강서구,2,2009,2387,2391,2391,2444,2813,3644,4758,5516,6171,6356,6229,6214,6246,6197,6227,5862,5139,3870,3089,2755,2460,2408,2291
가락동,강서구,3,1973,2313,2341,2359,2431,2782,3595,4624,5663,5877,6171,6170,6184,6065,6265,6221,5687,4905,4036,3432,2979,2501,2405,2408
가락동,강서구,4,1979,2382,2418,2387,2493,2861,3458,4815,5760,6042,6028,6068,6057,6128,6403,5904,5870,5192,4130,3339,2916,2621,2503,2489
가락동,강서구,5,2087,2441,2425,2462,2518,2712,3108,3660,4223,4748,4890,5038,5345,5097,4794,4793,4406,4208,3579,3131,2757,2510,2458,2408
가락동,강서구,6,2023,2385,2353,2380,2402,2513,2548,2848,3118,3572,3893,3979,4083,4203,4347,4085,4005,3814,3253,3044,2738,2504,2449,2392
가락동,강서구,0,1988,2379,2429,2428,2517,2880,3663,4700,5883,6147,6231,6308,6187,6310,6399,6260,5907,5111,4158,3430,3062,2708,2524,2445
가락동,강서구,1,3192,2347,2367,2400,2420,2819,3635,4733,5667,6026,6331,6447,6071,6092,,,,,,3493,2834,2570,2403,2287
가락동,강서구,2,2045,2422,2421,2420,2546,2813,3837,4809,5944,6159,6356,6124,5977,6136,6194,6060,5913,5194,3946,3203,2878,2585,2485,2398
가락동,강서구,3,2031,2410,2367,2446,2487,2859,3695,4798,5435,5894,5910,5979,5898,5957,6086,6087,5858,4954,3984,3382,2952,2627,2529,2431
가락동,강서구,4,2013,2357,2333,2391,2431,2788,3679,4642,5546,5779,5906,6063,5925,6064,6047,6117,5908,5080,4420,3549,3093,2574,2497,2438
가락동,강서구,5,2021,2393,2391,2364,2371,2697,3069,3788,4465,4836,5035,4940,5021,4980,5121,4835,4689,3926,3423,2967,2660,2583,2413,2370
가락동,강서구,6,1998,2410,2377,2346,2421,2548,2660,2850,3288,3649,4113,4236,4142,4202,4453,4371,4354,4013,3577,3242,2811,2669,2602,2463
가락동,강서구,0,2093,2503,2532,2578,2655,3011,3875,4807,5482,5788,5789,5726,5858,5975,5960,5936,5801,5270,4274,3610,3009,2657,2494,2431
가락동,강서구,1,2107,2500,2559,2537,2624,2925,3854,4866,5573,5903,6218,6156,6210,6225,6303,6090,5971,5494,4429,3528,3068,2813,2546,2463
가락동,강서구,2,2054,2462,2469,2489,2508,2853,3617,4841,5509,5963,5946,6071,5997,6044,6050,5704,5711,4731,3826,3034,2840,2591,2432,2343
가락동,강서구,3,2035,2380,2384,2400,2454,2836,3575,4778,5499,5985,5960,5876,5970,6053,6020,6098,5894,5116,4335,3538,3012,2685,2521,2488
가락동,강서구,4,2119,2509,2476,2492,2536,2796,3754,4855,5672,6054,6163,6120,6139,6147,6267,5930,5925,5299,4329,3552,2961,2677,2533,2431
가락동,강서구,5,2098,2479,2460,2483,2551,2791,3119,4016,4545,4990,5173,5102,5140,5240,5209,5168,4805,4052,3597,3124,2918,2735,2690,2570
가락동,강서구,6,2076,2474,2464,2444,2476,2604,2713,2890,3353,3927,4187,4387,4450,4576,4667,4619,4456,4142,3474,3093,2850,2665,2508,2388
가락동,강서구,0,2086,2486,2447,2471,2596,2874,3843,4781,5595,5823,6014,5897,6135,6136,5907,6064,5917,5099,4181,3592,3078,2728,2544,2480
가락동,강서구,1,2099,2542,2482,2507,2611,3010,3815,4942,5555,6063,6168,6223,6318,6147,6166,5967,6060,5624,4280,3710,3076,2814,2623,2542
가야1동,부산진구,2,22473,26731,26855,26898,26903,26740,25992,24895,24005,23163,22690,22560,22225,21782,21917,21678,21986,22837,23553,24026,24801,25611,26308,26747
