측정소코드,측정일시,PM10,PM25
221211,2016010101,69,64
221211,2016010102,67,65
221211,2016010103,70,66
221211,2016010104,70,66
221211,2016010105,66,65
221211,2016010106,62,58
221211,2016010107,58,54
221211,2016010108,64,63
221211,2016010109,66,59
221211,2016010110,80,74
221211,2016010111,75,58
221211,2016010112,78,52
221211,2016010113,68,46
221211,2016010114,53,42
221211,2016010115,40,34
221211,2016010116,43,31
221211,2016010117,32,30
221211,2016010118,27,32
221211,2016010119,37,45
221211,2016010120,49,57
221211,2016010121,57,57
221211,2016010122,53,48
221211,2016010123,49,50
221211,2016010124,61,51
221211,2016010201,55,53
221211,2016010202,62,55
221211,2016010203,65,53
221211,2016010204,63,61
221211,2016010205,63,57
221211,2016010206,63,60
221211,2016010207,62,56
221211,2016010208,68,61
221211,2016010209,82,73
221211,2016010210,100,84
221211,2016010211,131,114
221211,2016010212,105,76
221211,2016010213,80,53
221211,2016010214,65,47
221211,2016010215,63,44
221211,2016010216,55,48
221211,2016010217,58,43
221211,2016010218,60,57
221211,2016010219,78,64
221211,2016010220,70,63
221211,2016010221,70,58
221211,2016010222,76,68
221211,2016010223,76,69
221211,2016010224,80,66
221211,2016010301,64,62
221211,2016010302,67,60
221211,2016010303,73,64
221211,2016010304,68,57
221211,2016010305,67,61
221211,2016010306,67,59
221211,2016010307,65,58
221211,2016010308,62,51
221211,2016010309,78,67
221211,2016010310,96,79
221211,2016010311,88,69
221211,2016010312,108,82
221211,2016010313,99,73
221211,2016010314,84,61
221211,2016010315,59,38
221211,2016010316,56,42
221211,2016010317,45,44
221211,2016010318,34,48
221211,2016010319,49,52
221211,2016010320,69,67
221211,2016010321,64,54
221211,2016010322,55,50
221211,2016010323,57,49
221211,2016010324,68,63
221211,2016010401,56,49
221211,2016010402,58,53
221211,2016010403,70,63
221211,2016010404,69,64
221211,2016010405,66,59
221211,2016010406,68,60
221211,2016010407,77,66
221211,2016010408,92,76
221211,2016010409,111,97
221211,2016010410,114,103
221211,2016010411,166,132
221211,2016010412,169,122
